experiment,family,n_qubits,group,depth,seed,method,value
01_parity_separable_vs_entangled,classification,4,Identity,1,0,quantum_separable_ry,0.875
01_parity_separable_vs_entangled,classification,4,Identity,1,0,quantum_entangled_cx,0.875
01_parity_separable_vs_entangled,classification,4,Identity,1,0,quantum_rzz_ring,0.875
01_parity_separable_vs_entangled,classification,4,Identity,1,1,quantum_separable_ry,0.875
01_parity_separable_vs_entangled,classification,4,Identity,1,1,quantum_entangled_cx,0.875
01_parity_separable_vs_entangled,classification,4,Identity,1,1,quantum_rzz_ring,0.875
02_parity_entangled_vs_rbf,classification,4,Identity,1,0,quantum_entangled_cx,0.875
02_parity_entangled_vs_rbf,classification,4,Identity,1,0,quantum_rzz_ring,0.875
02_parity_entangled_vs_rbf,classification,4,Identity,1,0,classical_rbf,0.5416666666666666
02_parity_entangled_vs_rbf,classification,4,Identity,1,1,quantum_entangled_cx,0.875
02_parity_entangled_vs_rbf,classification,4,Identity,1,1,quantum_rzz_ring,0.875
02_parity_entangled_vs_rbf,classification,4,Identity,1,1,classical_rbf,0.4583333333333333
03_parity_entangled_vs_polynomial,classification,4,Identity,1,0,quantum_entangled_cx,0.875
03_parity_entangled_vs_polynomial,classification,4,Identity,1,0,quantum_rzz_ring,0.875
03_parity_entangled_vs_polynomial,classification,4,Identity,1,0,classical_polynomial,0.6666666666666666
03_parity_entangled_vs_polynomial,classification,4,Identity,1,1,quantum_entangled_cx,0.875
03_parity_entangled_vs_polynomial,classification,4,Identity,1,1,quantum_rzz_ring,0.875
03_parity_entangled_vs_polynomial,classification,4,Identity,1,1,classical_polynomial,0.4583333333333333
04_parity_noise05,classification,4,Identity,1,0,quantum_entangled_cx,0.6666666666666666
04_parity_noise05,classification,4,Identity,1,0,quantum_rzz_ring,0.75
04_parity_noise05,classification,4,Identity,1,0,classical_rbf,0.5416666666666666
04_parity_noise05,classification,4,Identity,1,0,classical_polynomial,0.6666666666666666
04_parity_noise05,classification,4,Identity,1,1,quantum_entangled_cx,0.75
04_parity_noise05,classification,4,Identity,1,1,quantum_rzz_ring,0.75
04_parity_noise05,classification,4,Identity,1,1,classical_rbf,0.5
04_parity_noise05,classification,4,Identity,1,1,classical_polynomial,0.4583333333333333
05_parity_noise15,classification,4,Identity,1,0,quantum_entangled_cx,0.5833333333333334
05_parity_noise15,classification,4,Identity,1,0,quantum_rzz_ring,0.6666666666666666
05_parity_noise15,classification,4,Identity,1,0,classical_rbf,0.5416666666666666
05_parity_noise15,classification,4,Identity,1,0,classical_polynomial,0.5833333333333334
05_parity_noise15,classification,4,Identity,1,1,quantum_entangled_cx,0.5416666666666666
05_parity_noise15,classification,4,Identity,1,1,quantum_rzz_ring,0.4583333333333333
05_parity_noise15,classification,4,Identity,1,1,classical_rbf,0.5416666666666666
05_parity_noise15,classification,4,Identity,1,1,classical_polynomial,0.6666666666666666
06_d4shape_groupavg,classification,4,D4,1,0,quantum_entangled_cx,0.5833333333333334
06_d4shape_groupavg,classification,4,D4,1,0,quantum_d4_entangled,0.75
06_d4shape_groupavg,classification,4,D4,1,1,quantum_entangled_cx,0.8333333333333334
06_d4shape_groupavg,classification,4,D4,1,1,quantum_d4_entangled,0.5
07_d4shape_d4_vs_rbf,classification,4,D4,1,0,quantum_entangled_cx,0.5833333333333334
07_d4shape_d4_vs_rbf,classification,4,D4,1,0,quantum_d4_entangled,0.75
07_d4shape_d4_vs_rbf,classification,4,D4,1,0,classical_rbf,0.3333333333333333
07_d4shape_d4_vs_rbf,classification,4,D4,1,1,quantum_entangled_cx,0.8333333333333334
07_d4shape_d4_vs_rbf,classification,4,D4,1,1,quantum_d4_entangled,0.5
07_d4shape_d4_vs_rbf,classification,4,D4,1,1,classical_rbf,0.5
08_d4shape_c4_only,classification,4,C4,1,0,quantum_entangled_cx,0.5833333333333334
08_d4shape_c4_only,classification,4,C4,1,0,quantum_c4_entangled,0.3333333333333333
08_d4shape_c4_only,classification,4,C4,1,0,classical_rbf,0.3333333333333333
08_d4shape_c4_only,classification,4,C4,1,1,quantum_entangled_cx,0.8333333333333334
08_d4shape_c4_only,classification,4,C4,1,1,quantum_c4_entangled,0.5
08_d4shape_c4_only,classification,4,C4,1,1,classical_rbf,0.5
09_d4shape_full_d4,classification,4,D4,1,0,quantum_entangled_cx,0.5833333333333334
09_d4shape_full_d4,classification,4,D4,1,0,quantum_d4_entangled,0.75
09_d4shape_full_d4,classification,4,D4,1,0,classical_rbf,0.3333333333333333
09_d4shape_full_d4,classification,4,D4,1,0,classical_polynomial,0.3333333333333333
09_d4shape_full_d4,classification,4,D4,1,1,quantum_entangled_cx,0.8333333333333334
