experiment,family,method,best_quantum,best_classical,mean,std,lo,hi,n
01_parity_separable_vs_entangled,classification,quantum_entangled_cx,,,0.875,0.0,0.875,0.875,2
01_parity_separable_vs_entangled,classification,quantum_rzz_ring,,,0.875,0.0,0.875,0.875,2
01_parity_separable_vs_entangled,classification,quantum_separable_ry,,,0.875,0.0,0.875,0.875,2
02_parity_entangled_vs_rbf,classification,classical_rbf,,,0.5,0.058925565098878946,0.4583333333333333,0.5416666666666666,2
02_parity_entangled_vs_rbf,classification,quantum_entangled_cx,,,0.875,0.0,0.875,0.875,2
02_parity_entangled_vs_rbf,classification,quantum_rzz_ring,,,0.875,0.0,0.875,0.875,2
02_parity_entangled_vs_rbf,classification,ADVANTAGE_SIGNAL,quantum_entangled_cx,classical_rbf,0.375,,0.33333333333333337,0.4166666666666667,2
03_parity_entangled_vs_polynomial,classification,classical_polynomial,,,0.5625,0.14731391274719738,0.4583333333333333,0.6666666666666666,2
03_parity_entangled_vs_polynomial,classification,quantum_entangled_cx,,,0.875,0.0,0.875,0.875,2
03_parity_entangled_vs_polynomial,classification,quantum_rzz_ring,,,0.875,0.0,0.875,0.875,2
03_parity_entangled_vs_polynomial,classification,ADVANTAGE_SIGNAL,quantum_entangled_cx,classical_polynomial,0.3125,,0.20833333333333337,0.4166666666666667,2
04_parity_noise05,classification,classical_polynomial,,,0.5625,0.14731391274719738,0.4583333333333333,0.6666666666666666,2
04_parity_noise05,classification,classical_rbf,,,0.5208333333333333,0.029462782549439452,0.5,0.5416666666666666,2
04_parity_noise05,classification,quantum_entangled_cx,,,0.7083333333333333,0.05892556509887899,0.6666666666666666,0.75,2
04_parity_noise05,classification,quantum_rzz_ring,,,0.75,0.0,0.75,0.75,2
04_parity_noise05,classification,ADVANTAGE_SIGNAL,quantum_rzz_ring,classical_polynomial,0.1875,,0.08333333333333337,0.2916666666666667,2
05_parity_noise15,classification,classical_polynomial,,,0.625,0.058925565098878904,0.5833333333333334,0.6666666666666666,2
05_parity_noise15,classification,classical_rbf,,,0.5416666666666666,0.0,0.5416666666666666,0.5416666666666666,2
05_parity_noise15,classification,quantum_entangled_cx,,,0.5625,0.029462782549439532,0.5416666666666666,0.5833333333333334,2
05_parity_noise15,classification,quantum_rzz_ring,,,0.5625,0.14731391274719738,0.4583333333333333,0.6666666666666666,2
05_parity_noise15,classification,ADVANTAGE_SIGNAL,quantum_entangled_cx,classical_polynomial,-0.0625,,-0.125,0.0,2
06_d4shape_groupavg,classification,quantum_d4_entangled,,,0.625,0.1767766952966369,0.5,0.75,2
06_d4shape_groupavg,classification,quantum_entangled_cx,,,0.7083333333333334,0.1767766952966369,0.5833333333333334,0.8333333333333334,2
07_d4shape_d4_vs_rbf,classification,classical_rbf,,,0.41666666666666663,0.11785113019775793,0.3333333333333333,0.5,2
07_d4shape_d4_vs_rbf,classification,quantum_d4_entangled,,,0.625,0.1767766952966369,0.5,0.75,2
07_d4shape_d4_vs_rbf,classification,quantum_entangled_cx,,,0.7083333333333334,0.1767766952966369,0.5833333333333334,0.8333333333333334,2
07_d4shape_d4_vs_rbf,classification,ADVANTAGE_SIGNAL,quantum_entangled_cx,classical_rbf,0.29166666666666674,,0.25000000000000006,0.33333333333333337,2
08_d4shape_c4_only,classification,classical_rbf,,,0.41666666666666663,0.11785113019775793,0.3333333333333333,0.5,2
08_d4shape_c4_only,classification,quantum_c4_entangled,,,0.41666666666666663,0.11785113019775793,0.3333333333333333,0.5,2
08_d4shape_c4_only,classification,quantum_entangled_cx,,,0.7083333333333334,0.1767766952966369,0.5833333333333334,0.8333333333333334,2
08_d4shape_c4_only,classification,ADVANTAGE_SIGNAL,quantum_entangled_cx,classical_rbf,0.29166666666666674,,0.25000000000000006,0.33333333333333337,2
09_d4shape_full_d4,classification,classical_polynomial,,,0.41666666666666663,0.11785113019775793,0.3333333333333333,0.5,2
09_d4shape_full_d4,classification,classical_rbf,,,0.41666666666666663,0.11785113019775793,0.3333333333333333,0.5,2
09_d4shape_full_d4,classification,quantum_d4_entangled,,,0.625,0.1767766952966369,0.5,0.75,2
09_d4shape_full_d4,classification,quantum_entangled_cx,,,0.7083333333333334,0.1767766952966369,0.5833333333333334,0.8333333333333334,2
09_d4shape_full_d4,classification,ADVANTAGE_SIGNAL,quantum_entangled_cx,classical_polynomial,0.29166666666666674,,0.25000000000000006,0.33333333333333337,2
10_anomaly_local,anomaly,classical_polynomial,,,0.5,0.0,0.5,0.5,2
10_anomaly_local,anomaly,classical_rbf,,,1.0,0.0,1.0,1.0,2
10_anomaly_local,anomaly,quantum_entangled_cx,,,0.20740740740740743,0.07332959212304942,0.15555555555555553,0.2592592592592593,2
10_anomaly_local,anomaly,quantum_rzz_ring,,,0.1898148148148148,0.0065472850109865805,0.18518518518518515,0.19444444444444445,2
10_anomaly_local,anomaly,ADVANTAGE_SIGNAL,quantum_entangled_cx,classical_rbf,-0.7925925925925925,,-0.8444444444444444,-0.7407407407407407,2
11_anomaly_color_confound,anomaly,classical_polynomial,,,0.5,0.0,0.5,0.5,2
11_anomaly_color_confound,anomaly,classical_rbf,,,0.9689075630252102,0.0035652442748902217,0.9663865546218487,0.9714285714285715,2
11_anomaly_color_confound,anomaly,quantum_entangled_cx,,,0.19894957983193276,0.03179009478443722,0.1764705882352941,0.22142857142857142,2
11_anomaly_color_confound,anomaly,quantum_rzz_ring,,,0.19432773109243695,0.02228277671806347,0.17857142857142855,0.21008403361344535,2
11_anomaly_color_confound,anomaly,ADVANTAGE_SIGNAL,quantum_entangled_cx,classical_rbf,-0.7699579831932775,,-0.7899159663865547,-0.7500000000000001,2
12_anomaly_rotated,anomaly,classical_polynomial,,,0.5,0.0,0.5,0.5,2
12_anomaly_rotated,anomaly,classical_rbf,,,1.0,0.0,1.0,1.0,2
12_anomaly_rotated,anomaly,quantum_entangled_cx,,,0.6587301587301587,0.3254935976890458,0.4285714285714285,0.888888888888889,2
12_anomaly_rotated,anomaly,quantum_rzz_ring,,,0.5616557734204792,0.2951670136717702,0.3529411764705882,0.7703703703703704,2
12_anomaly_rotated,anomaly,ADVANTAGE_SIGNAL,quantum_entangled_cx,classical_rbf,-0.3412698412698413,,-0.5714285714285715,-0.11111111111111105,2
13_ablation_nq_3,classification,classical_rbf,,,0.41666666666666663,0.11785113019775793,0.3333333333333333,0.5,2
13_ablation_nq_3,classification,quantum_d4_entangled,,,0.6666666666666666,0.4714045207910317,0.3333333333333333,1.0,2
13_ablation_nq_3,classification,quantum_entangled_cx,,,0.75,0.3535533905932738,0.5,1.0,2
13_ablation_nq_3,classification,ADVANTAGE_SIGNAL,quantum_entangled_cx,classical_rbf,0.33333333333333337,,0.0,0.6666666666666667,2
14_ablation_nq_4,classification,classical_rbf,,,0.41666666666666663,0.11785113019775793,0.3333333333333333,0.5,2
14_ablation_nq_4,classification,quantum_d4_entangled,,,0.625,0.1767766952966369,0.5,0.75,2
14_ablation_nq_4,classification,quantum_entangled_cx,,,0.7083333333333334,0.1767766952966369,0.5833333333333334,0.8333333333333334,2
14_ablation_nq_4,classification,ADVANTAGE_SIGNAL,quantum_entangled_cx,classical_rbf,0.29166666666666674,,0.25000000000000006,0.33333333333333337,2
15_ablation_nq_5,classification,classical_rbf,,,0.41666666666666663,0.11785113019775793,0.3333333333333333,0.5,2
15_ablation_nq_5,classification,quantum_d4_entangled,,,0.875,0.1767766952966369,0.75,1.0,2
15_ablation_nq_5,classification,quantum_entangled_cx,,,0.7708333333333334,0.2651650429449553,0.5833333333333334,0.9583333333333334,2
15_ablation_nq_5,classification,ADVANTAGE_SIGNAL,quantum_d4_entangled,classical_rbf,0.45833333333333337,,0.25,0.6666666666666667,2
16_ablation_depth_0,classification,classical_rbf,,,0.5,0.058925565098878946,0.4583333333333333,0.5416666666666666,2
16_ablation_depth_0,classification,quantum_entangled_cx,,,0.875,0.0,0.875,0.875,2
16_ablation_depth_0,classification,ADVANTAGE_SIGNAL,quantum_entangled_cx,classical_rbf,0.375,,0.33333333333333337,0.4166666666666667,2
17_ablation_depth_1,classification,classical_rbf,,,0.5,0.058925565098878946,0.4583333333333333,0.5416666666666666,2
17_ablation_depth_1,classification,quantum_entangled_cx,,,0.875,0.0,0.875,0.875,2
17_ablation_depth_1,classification,ADVANTAGE_SIGNAL,quantum_entangled_cx,classical_rbf,0.375,,0.33333333333333337,0.4166666666666667,2
18_ablation_depth_2,classification,classical_rbf,,,0.5,0.058925565098878946,0.4583333333333333,0.5416666666666666,2
18_ablation_depth_2,classification,quantum_entangled_cx,,,0.875,0.0,0.875,0.875,2
18_ablation_depth_2,classification,ADVANTAGE_SIGNAL,quantum_entangled_cx,classical_rbf,0.375,,0.33333333333333337,0.4166666666666667,2
19_ablation_group_identity,classification,classical_rbf,,,0.41666666666666663,0.11785113019775793,0.3333333333333333,0.5,2
19_ablation_group_identity,classification,quantum_entangled_cx,,,0.7083333333333334,0.1767766952966369,0.5833333333333334,0.8333333333333334,2
19_ablation_group_identity,classification,ADVANTAGE_SIGNAL,quantum_entangled_cx,classical_rbf,0.29166666666666674,,0.25000000000000006,0.33333333333333337,2
20_ablation_group_d4_full,classification,classical_rbf,,,0.41666666666666663,0.11785113019775793,0.3333333333333333,0.5,2
20_ablation_group_d4_full,classification,quantum_d4_entangled,,,0.625,0.1767766952966369,0.5,0.75,2
20_ablation_group_d4_full,classification,quantum_entangled_cx,,,0.7083333333333334,0.1767766952966369,0.5833333333333334,0.8333333333333334,2
20_ablation_group_d4_full,classification,ADVANTAGE_SIGNAL,quantum_entangled_cx,classical_rbf,0.29166666666666674,,0.25000000000000006,0.33333333333333337,2
